horizon,day,slot,index,feature,coefficient,residual_sigma2,n_obs,ci_low,ci_high,ci_level,boot_se
3,2,1,42,M_E_day4_daily_survey_complete,0.0,0.0008869836273941462,290,0.0,0.0,0.95,0.0
3,2,1,43,M_E_day5_pageview_morning,0.0,0.0008869836273941462,290,0.0,0.0,0.95,0.0
3,2,1,44,M_E_day5_pageview_afternoon,0.0,0.0008869836273941462,290,0.0,0.0,0.95,0.0
3,2,1,45,M_E_day5_morning_fitbit_wear,0.0,0.0008869836273941462,290,0.0,0.0,0.95,0.0
3,2,1,46,M_E_day5_daily_survey_complete,0.0,0.0008869836273941462,290,0.0,0.0,0.95,0.0
3,2,1,47,M_E_day6_pageview_morning,0.0,0.0008869836273941462,290,0.0,0.0,0.95,0.0
3,2,1,48,M_E_day6_pageview_afternoon,0.0,0.0008869836273941462,290,0.0,0.0,0.95,0.0
3,2,1,49,M_E_day6_morning_fitbit_wear,0.0,0.0008869836273941462,290,0.0,0.0,0.95,0.0
3,2,1,50,M_E_day6_daily_survey_complete,0.0,0.0008869836273941462,290,0.0,0.0,0.95,0.0
3,2,1,51,yesterday_step_count,0.015445786450111229,0.0008869836273941462,290,-0.02337071403942058,0.04456478861785078,0.95,0.017088583584643904
3,2,1,52,ema_step_count,0.004165436872200067,0.0008869836273941462,290,-0.022809328187296418,0.025790230596461215,0.95,0.01175279536254567
3,2,1,53,prior2hour_step_count,0.003899214478363995,0.0008869836273941462,290,-0.015545379283606277,0.0279860186721535,0.95,0.01081442316493992
3,2,1,54,previous7days_rpa,0.07966289140659041,0.0008869836273941462,290,-0.044465119461188196,0.2156928822167842,0.95,0.06624029422833318
3,2,1,55,active_status_fraction_7days,0.14786140268878928,0.0008869836273941462,290,0.03125021029749483,0.2834351315564988,0.95,0.06489276507649708
3,2,1,56,recent_burden,-0.0015744856163853595,0.0008869836273941462,290,-0.031734394296355155,0.026457757086093135,0.95,0.015387204296685005
3,2,1,57,salience_yesterday,0.018194115554300706,0.0008869836273941462,290,-0.00782924674419985,0.05706591643463861,0.95,0.01629518974982331
3,2,1,58,walk_interaction_7d,-0.010450405921360524,0.0008869836273941462,290,-0.12582819896769654,0.1356656379763746,0.95,0.06748809906343481
3,2,1,59,A,-0.019673171075095825,0.0008869836273941462,290,-0.043997858750941525,0.026775293621732796,0.95,0.018497898825161896
3,2,1,60,A*E_w,0.0013335050902643431,0.0008869836273941462,290,-0.009246023863589385,0.013260548839950264,0.95,0.005606069081875516
3,2,1,61,A*CAE_avg_lastweek,0.00822455339064541,0.0008869836273941462,290,-0.004116771364251975,0.03831697607289328,0.95,0.01128605841219758
3,2,1,62,A*weekday_vs_weekend,0.0,0.0008869836273941462,290,0.0,0.0,0.95,0.0
3,2,1,63,A*slot_pm,0.0,0.0008869836273941462,290,0.0,0.0,0.95,0.0
3,2,1,64,A*weekday_vs_weekend*E_w,0.0,0.0008869836273941462,290,0.0,0.0,0.95,0.0
3,2,1,65,A*slot_pm*E_w,0.0,0.0008869836273941462,290,0.0,0.0,0.95,0.0
3,2,1,66,A*weekday_vs_weekend*CAE_avg_lastweek,0.0,0.0008869836273941462,290,0.0,0.0,0.95,0.0
3,2,1,67,A*slot_pm*CAE_avg_lastweek,0.0,0.0008869836273941462,290,0.0,0.0,0.95,0.0
3,2,1,68,A*yesterday_step_count,-0.009154891572699489,0.0008869836273941462,290,-0.03263573248004157,0.011627512900045106,0.95,0.011093709966859218
3,2,1,69,A*ema_step_count,0.0018694420143712592,0.0008869836273941462,290,-0.013614503894419374,0.025029387608629244,0.95,0.010143851628428301
3,2,1,70,A*prior2hour_step_count,-0.007381775235420474,0.0008869836273941462,290,-0.032405333654755376,0.013929263430477776,0.95,0.01157635403029578
3,2,1,71,A*previous7days_rpa,-0.028283287606945488,0.0008869836273941462,290,-0.10693460652959765,0.033464279250942454,0.95,0.03393459641900754
